sep=;
Instância;P1(Algoritmo);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Ver);P7(Limite);P8(Repetidos);P9(pesoAStar);P10(ruido);P11(baralhar);I1(Custo);I2(Tempo(ms));I3(Iterações);I4(Expansões);I5(Gerações);I6(Lower Bound);
972;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;1859;1114;1859;0;
973;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;1;3366;2019;3366;0;
974;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;1859;1114;1859;0;
975;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;3366;2019;3366;0;
976;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;1859;1114;1859;0;
977;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;1;2214;1332;2214;0;
978;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;2214;1332;2214;0;
979;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;1;1491;896;1491;0;
980;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;22;1;1378;830;1378;0;
981;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;0;1067;643;1067;0;
982;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;1376;837;1376;0;
983;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;3132;1894;3132;0;
984;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;3;5301;3206;5301;0;
985;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;3132;1894;3132;0;
986;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;1381;840;1381;0;
987;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;3132;1894;3132;0;
988;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;1381;840;1381;0;
989;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;3132;1894;3132;0;
990;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;0;1381;840;1381;0;
991;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;3132;1894;3132;0;
992;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;3;5301;3206;5301;0;
993;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;3;4380;2639;4380;0;
994;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;3261;1958;3261;0;
995;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;1;1705;1024;1705;0;
996;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;2;3261;1958;3261;0;
997;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;4380;2639;4380;0;
998;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;2;3220;1931;3220;0;
999;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;1;1664;1006;1664;0;
900;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;22;0;732;443;731;24;
901;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;1;1857;1126;1856;25;
902;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;22;0;732;443;731;24;
903;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;1;1857;1126;1856;25;
904;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;22;0;732;443;731;24;
905;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;1;1001;611;1000;25;
906;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;1642;1005;1641;26;
907;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;3750;2289;3749;27;
908;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;1;3201;1950;3200;28;
909;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;2873;1746;2872;27;
910;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;1;3201;1950;3200;28;
911;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;3750;2289;3749;27;
912;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;1;3201;1950;3200;28;
913;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;2873;1746;2872;27;
914;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;2;3853;2342;3852;26;
915;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;1;2873;1746;2872;27;
916;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;2;3201;1950;3200;28;
917;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;1;2873;1746;2872;27;
918;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;1912;1157;1911;26;
919;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;1;2873;1746;2872;27;
920;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;2;3201;1950;3200;28;
921;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;1;2873;1746;2872;27;
922;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;2;3201;1950;3200;28;
923;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;3750;2289;3749;27;
924;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;1;1854;1145;1853;28;
925;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;1;945;587;944;27;
926;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;1;1854;1145;1853;28;
927;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;1;945;587;944;27;
928;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;2;4020;2474;4019;28;
929;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;27;2;4023;2475;4022;29;
930;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;2;2881;1763;2880;28;
931;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;0;1636;994;1635;27;
932;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;2;2881;1763;2880;28;
933;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;27;2;5155;3157;5154;29;
934;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;2;3311;2026;3310;28;
935;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;1;2919;1780;2918;27;
936;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;1283;779;1282;26;
937;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;1;841;506;840;25;
938;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;22;0;710;423;709;24;
939;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;0;841;506;840;25;
940;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;1283;779;1282;26;
941;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;3;5545;3359;5544;27;
942;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;0;1283;779;1282;26;
943;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;3;5545;3359;5544;27;
944;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;2;4983;3009;4982;28;
945;6:IDA*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;3;5545;3359;5544;27;
